"","age","sex","educ2","outcome","educ"
"155",69,2,3,"B","1"
"156",54,1,7,"A","3"
"157",99,2,3,"A","1"
"158",52,2,5,"E","2"
"159",72,1,5,"A","2"
"160",36,1,6,"C","2"
"161",65,2,5,"B","2"
"162",63,1,8,"E","3"
"163",82,2,2,"B","1"
"164",65,2,5,"D","2"
"165",90,2,8,"A","3"
"166",54,1,6,"C","2"
"167",58,2,8,"B","3"
"168",49,2,8,"E","3"
"169",43,1,3,"A","1"
"170",22,2,4,"E","2"
"171",75,1,3,"E","1"
"172",24,1,4,"E","2"
"173",45,1,3,"D","1"
"174",18,2,3,"E","1"
"175",35,1,5,"E","2"
"176",60,2,6,"B","2"
"177",40,1,6,"A","2"
"178",64,1,3,"B","1"
"179",80,2,4,"A","2"
"180",61,1,8,"C","3"
"181",67,2,6,"A","2"
"182",68,2,5,"E","2"
"183",82,2,3,"A","1"
"184",63,2,4,"B","2"
"185",36,2,6,"C","2"
"186",69,2,8,"B","3"
"187",66,2,4,"A","2"
"188",31,2,4,"E","2"
"189",62,2,5,"D","2"
"190",73,2,8,"E","3"
"191",63,2,3,"D","1"
"192",66,1,8,"A","3"
"193",40,2,8,"E","3"
"194",28,2,6,"E","2"
"195",63,1,5,"B","2"
"196",80,2,4,"C","2"
"197",35,2,4,"E","2"
"198",65,2,6,"A","2"
"199",52,1,8,"E","3"
"200",47,1,6,"D","2"
"201",65,2,6,"A","2"
"202",58,1,3,"E","1"
"203",45,2,5,"E","2"
"204",49,2,6,"C","2"
"205",99,2,6,"A","2"
"206",52,2,8,"E","3"
"207",70,2,6,"A","2"
"208",42,2,6,"D","2"
"209",79,2,2,"B","1"
"210",76,2,4,"C","2"
"211",84,2,6,"C","2"
"212",35,1,3,"E","1"
"213",52,1,3,"E","1"
"214",60,2,4,"B","2"
"215",63,1,8,"E","3"
"216",69,1,6,"A","2"
"217",20,1,3,"E","1"
"218",66,1,3,"B","1"
"219",55,2,3,"E","1"
"220",42,1,6,"E","2"
"221",22,1,5,"E","2"
