psraid,sample,int_date,fips,state,cregion,density,usr,vote01,pial1a,pial1b,pial1c,pial1d,pial1e,pial2a,pial2b,pial2c,pial2d,pial2e,pial3,ql1,ql1a,qc1,hh1,employ,par,sex,age,educ2,hisp,race,inc,reg,party,partyln,ideo,zipcode,iphoneuse,hphoneuse,weight,standwt
100223,1,110112,22051,22,3,4,U,1,1,1,1,1,1,3,3,2,4,3,2,1, , ,2,1,1,2,34,8,2,1,6,1,3,1, ,70123,2,2,4.2,1.07734659444099
100229,1,110112,48141,48,3,3,U,1,2,2,2,2,2,4,4,4,4,4,2,1, , ,2,3,2,2,54,4,2,1,2,1,2, , ,79930,2,2,3.9,1.00039326626663
100230,1,110112,27027,27,2,1,S,3,2,2,2,2,2,4,9,4,4,4,2,1, , ,1,3,2,2,74,4,2,1,99,1,9,9, ,56560,2,2,1,.256511093914522
100235,1,110112,48141,48,3,3,U,1,1,2,2,2,2,1,4,4,4,4,2,2,1, ,1,3,2,1,57,3,1,6,1,1,2, , ,79932,1,2,4.9,1.25690436018116
100241,1,110112,37087,37,3,1,S,3,2,2,2,2,2,4,4,4,4,4,2,1, , ,2,3,2,1,70,8,2,1,8,1,2, , ,28751,2,2,1.9,.487371078437591
100244,1,110112,55097,55,2,1,R,1,2,2,3,3,3,2,2,3,3,3,2,2,2, ,1,2,2,1,57,3,2,1,99,1,9,1, ,54482,1,1,2,.513022187829043
100245,1,110112,27121,27,2,1,R,1,1,2,2,2,2,2,4,4,4,4,2,1, , ,3,2,1,2,51,4,2,1,5,3,1, , ,56381,2,2,3.5,.897788828700826
100249,1,110112,22033,22,3,4,S,1,2,2,2,2,2,2,2,2,1,4,2,1, , ,2,1,1,2,40,6,2,1,7,1,1, , ,70791,2,2,4.25,1.09017214913672
100254,1,110112,48439,48,3,5,U,1,2,2,2,2,1,2,4,2,4,3,2,1, , ,2,1,1,1,42,8,2,1,99,1,3,1, ,76126,2,2,2.5,.641277734786304
100260,1,110412,17019,17,2,2,U,1,1,2,2,2,2,4,4,4,4,4,2,1, , ,2,3,2,1,87,8,2,1,3,1,1, ,2,61822,2,2,2.1,.538673297220496
100261,1,110112,29189,29,2,4,S,1,2,2,2,2,2,4,4,4,4,1,2,1, , ,4,2,2,2,54,2,2,1,8,1,2, , ,63025,2,2,9.7,2.48815761097086
100269,1,110112,13063,13,3,4,S,1,1,2,2,2,2,1,1,4,1,4,2,1, , ,1,1,2,1,57,4,2,2,3,1,2, , ,30236,2,2,1.5,.384766640871783
100270,1,110112,45035,45,3,2,S,1,2,1,2,2,2,4,4,4,4,4,2,2,1, ,3,3,2,2,82,8,2,1,7,1,2, , ,29420,1,2,3.7,.94909104748373
100273,1,110112,26145,26,2,2,S,1,1,1,2,2,2,1,1,4,4,4,1,1, , ,1,3,2,1,81,3,2,1,4,1,2, , ,48609,2,2,1.55,.397592195567509
100281,1,110112,18003,18,2,3,U,3,2,2,2,2,1,4,4,4,4,2,2,1, , ,2,3,2,1,74,5,2,1,4,1,1, , ,46805,2,2,2.7,.692579953569209
100282,1,110112,48141,48,3,3,U,1,1,2,1,2,1,2,4,3,4,3,1,1, , ,2,1,2,1,46,6,2,1,7,1,1, , ,79911,2,2,2.8,.718231062960661
100286,1,110112,18089,18,2,4,S,1,2,2,2,2,2,3,4,4,4,4,2,1, , ,3,1,2,2,54,5,1,3,4,1,2, , ,46327,2,2,8.75,2.24447207175206
100296,1,110112,53033,53,4,4,U,1,2,2,2,2,2,4,4,4,4,4,2,1, , ,1,3,2,1,84,4,2,1,99,1,2, , ,98119,2,2,1.45,.371941086176056
100298,1,110112,26139,26,2,3,S,1,1,2,2,2,2,4,4,4,4,4,2,2,1, ,1,3,2,2,77,4,2,1,4,1,2, , ,49417,1,2,1.25,.320638867393152
100300,1,110112,26041,26,2,1,R,1,1,1,2,2,1,3,3,3,4,3,1,1, , ,2,1,2,2,46,8,2,1,9,1,3,2, ,49829,2,2,1.8,.461719969046139
100302,1,110112,26099,26,2,4,S,1,2,2,1,2,2,2,2,2,4,4,2,1, , ,3,2,2,2,58,6,2,1,6,1,1, , ,48021,2,2,4.3,1.10299770383244
100305,1,110112,27003,27,2,3,S,1,2,2,2,2,2,3,4,4,4,4,2,1, , ,2,3,2,1,80,3,2,1,4,1,2, , ,55304,2,2,3.75,.961916602179456
100309,1,110112,4013,4,4,3,U,1,2,2,2,2,2,4,4,4,4,4,2,1, , ,1,3,2,2,99,9,2,1,6,1,9,9, ,85205,2,2,1.7,.436068859654687
100327,1,110112,53035,53,4,3,S,1,1,2,2,2,2,4,4,4,4,4,2,1, , ,2,1,2,2,57,8,2,1,99,1,2, , ,98110,2,2,2.5,.641277734786304
100328,1,110112,12019,12,3,2,S,1,2,2,2,2,2,4,4,4,4,4,2,1, , ,4,1,2,2,54,3,2,1,6,1,1, , ,32068,2,2,5.7,1.46211323531277
100332,1,110112,39095,39,2,4,S,1,2,2,2,2,2,4,4,4,4,4,2,1, , ,2,2,2,1,61,4,2,1,5,1,3,9, ,43607,2,2,3.75,.961916602179456
100334,1,110112,48201,48,3,5,S,1,1,2,2,2,2,2,4,4,4,4,2,1, , ,2,1,1,1,51,5,9,1,7,1,4,2, ,77040,2,2,4.2,1.07734659444099
100339,1,110112,48143,48,3,1,R,1,1,2,2,2,2,1,1,4,1,4,1,2,1, ,3,2,2,2,65,3,1,6,1,1,2, , ,76446,1,2,7.35,1.88535654027173
100342,1,110112,6075,6,4,5,U,3,2,2,2,2,2,4,4,4,4,4,2,1, , ,2,1,2,1,61,8,2,1,9,3,3,2, ,94108,2,2,2.55,.65410328948203
100350,1,110112,6067,6,4,4,U,1,1,2,2,2,2,2,4,4,4,4,2,1, , ,3,3,2,1,69,4,2,1,8,1,2, , ,95630,2,2,3.8,.974742156875182
100352,1,110412,55073,55,2,1,R,1,2,2,2,2,2,4,4,4,4,4,1,1, , ,2,1,2,1,56,3,2,1,6,1,3,1,3,54455,2,2,3.15,.808009945830743
100359,1,110112,5071,5,3,1,R,1,1,2,2,2,2,4,4,4,4,4,2,2,1, ,1,3,2,2,99,1,2,1,1,1,1, , ,72830,1,2,4.75,1.21842769609398
