"","age","sex","educ","outcome"
"394",64,1,"2","C"
"395",27,1,"3","E"
"396",22,2,"2","E"
"397",45,1,"2","E"
"398",38,1,"1","A"
"399",19,1,"1","A"
"400",38,1,"2","E"
"401",66,1,"1","B"
"402",71,2,"2","A"
"403",53,2,"3","A"
"404",35,2,"2","B"
"405",38,1,"2","A"
"406",53,2,"2","B"
"407",32,1,"2","C"
"408",37,1,"2","B"
"409",22,2,"2","E"
"410",30,1,"1","A"
"411",54,1,"1","A"
"412",35,2,"2","A"
"413",65,2,"3","B"
"414",64,1,"2","A"
"415",34,2,"2","A"
"416",26,2,"2","E"
"417",36,1,"3","A"
"418",23,1,"1","E"
"419",45,1,"2","E"
"420",47,2,"1","E"
"421",41,1,"2","E"
"422",46,2,"1","E"
"423",52,1,"3","B"
"424",29,2,"2","B"
"425",65,2,"2","A"
"426",48,1,"2","E"
"427",56,1,"2","B"
"428",49,2,"1","C"
"429",52,1,"3","A"
"430",54,1,"1","B"
"431",26,1,"3","B"
"432",42,2,"1","C"
"433",33,1,"1","A"
"434",59,1,"1","A"
"435",24,2,"1","A"
"436",28,2,"3","E"
"437",63,1,"2","B"
"438",50,2,"1","D"
"439",22,2,"2","E"
"440",69,2,"2","B"
"441",32,2,"2","E"
"442",52,1,"1","D"
"443",77,1,"2","A"
"444",40,2,"2","E"
"445",18,2,"2","A"
"446",58,1,"2","B"
"447",52,1,"2","E"
"448",27,2,"2","A"
"449",30,1,"3","E"
"450",71,1,"2","A"
"451",41,1,"1","A"
"452",47,2,"2","C"
"453",54,2,"3","C"
"454",65,2,"2","A"
"455",50,1,"1","E"
"456",60,1,"2","E"
"457",66,1,"2","A"
"458",27,1,"2","A"
"459",25,1,"2","E"
"460",55,1,"2","A"
"461",65,2,"2","A"
"462",36,2,"3","E"
"463",19,1,"1","A"
"464",43,1,"2","B"
"465",63,2,"1","A"
"466",22,2,"1","E"
"467",47,1,"3","D"
"468",50,1,"2","E"
"469",41,1,"2","E"
"470",42,1,"2","A"
"471",45,2,"3","B"
"472",39,2,"1","D"
"473",39,1,"1","B"
"474",79,2,"3","B"
"475",38,1,"2","A"
"476",54,1,"3","B"
"477",22,1,"2","A"
"478",99,2,"2","D"
"479",64,1,"2","D"
"480",29,1,"2","E"
"481",39,1,"1","E"
"482",19,1,"1","E"
"483",63,2,"1","A"
"484",25,2,"2","E"
"485",33,2,"2","E"
"486",23,1,"2","A"
"487",38,1,"3","A"
"488",20,2,"1","E"
"489",67,2,"2","D"
"490",20,2,"2","B"
"491",35,1,"3","C"
"492",46,1,"1","A"
"493",18,2,"1","E"
"494",27,2,"2","E"
"495",66,1,"1","A"
"496",19,1,"2","D"
"497",58,1,"2","E"
"498",52,1,"2","A"
"499",26,1,"2","E"
"500",41,1,"2","E"
"501",21,1,"1","E"
"502",34,2,"1","B"
"503",18,2,"1","B"
"504",20,2,"2","E"
"505",53,1,"1","B"
"506",45,2,"2","E"
"507",28,1,"2","E"
"508",67,2,"1","B"
"509",18,1,"1","A"
"510",41,2,"3","C"
"511",42,1,"2","E"
"512",65,1,"2","A"
"513",40,2,"1","B"
"514",61,2,"3","A"
"515",74,2,"3","E"
"516",24,1,"2","B"
"517",26,1,"3","A"
"518",51,1,"3","E"
"519",41,2,"2","A"
"520",26,1,"1","D"
"521",47,2,"2","B"
"522",22,2,"1","E"
"523",58,1,"1","E"
"524",66,2,"2","A"
"525",44,1,"2","A"
"526",34,1,"3","D"
"527",24,1,"2","E"
"528",50,2,"2","E"
"529",73,2,"2","E"
"530",65,2,"1","B"
"531",75,2,"2","A"
"532",57,2,"2","E"
"533",22,2,"2","D"
"534",68,2,"2","A"
"535",21,1,"1","E"
"536",42,1,"3","E"
"537",19,2,"1","A"
"538",54,2,"2","E"
"539",29,1,"1","E"
"540",41,1,"1","B"
"541",57,1,"3","C"
"542",40,1,"2","C"
"543",99,2,"3","B"
"544",46,1,"1","A"
"545",99,2,"1","A"
"546",44,2,"2","E"
"547",54,2,"3","E"
"548",62,2,"2","B"
